evi,evi_raw,ndvi,ndvi_raw,date,day,district,month,year
0.4611933225052063,4611.933225052063,0.7330340499666391,7330.340499666391,2000-02-18,18,Chikankanta,2,2000
0.4860734434986242,4860.734434986242,0.7475462945501086,7475.462945501085,2000-03-05,5,Chikankanta,3,2000
0.4032307487307003,4032.3074873070022,0.7156933309340322,7156.933309340322,2000-03-21,21,Chikankanta,3,2000
0.3715193083295697,3715.193083295697,0.653785741928459,6537.857419284589,2000-04-06,6,Chikankanta,4,2000
0.3849075264253404,3849.075264253405,0.6559263641464232,6559.263641464232,2000-04-22,22,Chikankanta,4,2000
0.2871538201945054,2871.5382019450544,0.6028431875289444,6028.431875289443,2000-05-08,8,Chikankanta,5,2000
0.276671908758445,2766.71908758445,0.5788810577694572,5788.810577694572,2000-05-24,24,Chikankanta,5,2000
0.2786097904578064,2786.097904578064,0.5346276686977453,5346.276686977452,2000-06-09,9,Chikankanta,6,2000
0.2534307641396083,2534.307641396083,0.5040938097302264,5040.938097302264,2000-06-25,25,Chikankanta,6,2000
0.2105633370931542,2105.6333709315422,0.4567865823807805,4567.865823807805,2000-07-11,11,Chikankanta,7,2000
0.2068036521622848,2068.0365216228483,0.4163538871995533,4163.538871995533,2000-07-27,27,Chikankanta,7,2000
0.1736584501318118,1736.584501318118,0.3664974246898823,3664.9742468988234,2000-08-12,12,Chikankanta,8,2000
0.1785827742537528,1785.827742537528,0.350008580531879,3500.08580531879,2000-08-28,28,Chikankanta,8,2000
0.1611973349361023,1611.9733493610236,0.3133672001639591,3133.6720016395907,2000-09-13,13,Chikankanta,9,2000
0.1598081706338592,1598.081706338592,0.3169790344430621,3169.790344430621,2000-09-29,29,Chikankanta,9,2000
0.1759879616440107,1759.8796164401072,0.3216694431201086,3216.694431201086,2000-10-15,15,Chikankanta,10,2000
0.1966183794357265,1966.1837943572648,0.3843892064594699,3843.8920645946982,2000-10-31,31,Chikankanta,10,2000
0.2454940080452721,2454.9400804527213,0.4848838487093559,4848.83848709356,2000-11-16,16,Chikankanta,11,2000
0.3601002745881995,3601.002745881995,0.5840704061100768,5840.704061100768,2000-12-02,2,Chikankanta,12,2000
0.4252186704894577,4252.186704894577,0.6714631877049575,6714.6318770495745,2000-12-18,18,Chikankanta,12,2000
0.4344354745995833,4344.354745995834,0.656226797946621,6562.26797946621,2001-01-01,1,Chikankanta,1,2001
0.5052352680169815,5052.352680169814,0.6876253090817418,6876.253090817418,2001-01-17,17,Chikankanta,1,2001
0.4250002055739346,4250.002055739345,0.7141802314537893,7141.802314537892,2001-02-02,2,Chikankanta,2,2001
0.4621204180934183,4621.204180934184,0.7331982315215951,7331.982315215952,2001-02-18,18,Chikankanta,2,2001
0.4493590064799609,4493.590064799609,0.7387600989747458,7387.600989747458,2001-03-06,6,Chikankanta,3,2001
0.4336721107820094,4336.721107820094,0.7271432101754869,7271.432101754868,2001-03-22,22,Chikankanta,3,2001
0.4057149229042872,4057.1492290428714,0.7187973227263745,7187.973227263745,2001-04-07,7,Chikankanta,4,2001
0.3573255030698744,3573.2550306987437,0.6690481026954426,6690.481026954425,2001-04-23,23,Chikankanta,4,2001
0.3141483215984277,3141.4832159842776,0.6096691670930378,6096.691670930378,2001-05-09,9,Chikankanta,5,2001
0.2830207170017558,2830.2071700175584,0.5663157665383669,5663.157665383669,2001-05-25,25,Chikankanta,5,2001
0.2560600706271404,2560.6007062714043,0.5186823084051793,5186.823084051793,2001-06-10,10,Chikankanta,6,2001
0.23075898229008,2307.5898229008,0.4668793646871402,4668.793646871402,2001-06-26,26,Chikankanta,6,2001
0.2205971953963508,2205.9719539635084,0.4603497847308626,4603.497847308626,2001-07-12,12,Chikankanta,7,2001
0.2062507658697395,2062.5076586973955,0.4211065749386607,4211.065749386607,2001-07-28,28,Chikankanta,7,2001
0.1860905175471235,1860.9051754712357,0.3951945159424167,3951.9451594241673,2001-08-13,13,Chikankanta,8,2001
0.1653983255229833,1653.983255229833,0.3439090064188282,3439.0900641882827,2001-08-29,29,Chikankanta,8,2001
0.1785821043175925,1785.8210431759253,0.3366570360012554,3366.570360012554,2001-09-14,14,Chikankanta,9,2001
0.1746488243775943,1746.488243775943,0.3425174446492319,3425.1744464923186,2001-09-30,30,Chikankanta,9,2001
0.1815039930171983,1815.039930171983,0.347989013715595,3479.89013715595,2001-10-16,16,Chikankanta,10,2001
0.2159255090058798,2159.2550900587985,0.3679465237913929,3679.465237913929,2001-11-01,1,Chikankanta,11,2001
0.338467139074503,3384.6713907450303,0.5661726789186549,5661.726789186549,2001-11-17,17,Chikankanta,11,2001
0.4605285802068639,4605.285802068639,0.6739066142470209,6739.066142470209,2001-12-03,3,Chikankanta,12,2001
0.4215621878736904,4215.621878736904,0.6893149244156577,6893.149244156576,2001-12-19,19,Chikankanta,12,2001
0.4261792660411647,4261.7926604116465,0.62539278233075,6253.9278233075,2002-01-01,1,Chikankanta,1,2002
0.4462788374017379,4462.788374017379,0.6806823189596078,6806.823189596078,2002-01-17,17,Chikankanta,1,2002
0.4302300777934113,4302.300777934113,0.7050525673860712,7050.525673860712,2002-02-02,2,Chikankanta,2,2002
0.3982282929927792,3982.282929927792,0.6890548046734193,6890.548046734192,2002-02-18,18,Chikankanta,2,2002
0.3960464194971921,3960.4641949719207,0.6217561990534549,6217.561990534549,2002-03-06,6,Chikankanta,3,2002
0.3012442570671069,3012.442570671069,0.5429867601486095,5429.867601486095,2002-03-22,22,Chikankanta,3,2002
0.2853067406421154,2853.067406421154,0.5666495565252274,5666.495565252274,2002-04-07,7,Chikankanta,4,2002
0.2640941420921659,2640.941420921659,0.538690184105259,5386.90184105259,2002-04-23,23,Chikankanta,4,2002
0.2369065295882414,2369.0652958824144,0.4828515677872484,4828.515677872484,2002-05-09,9,Chikankanta,5,2002
0.2084015478737627,2084.0154787376277,0.4298629677488749,4298.629677488749,2002-05-25,25,Chikankanta,5,2002
0.1917819854180961,1917.8198541809609,0.4012902518401802,4012.9025184018014,2002-06-10,10,Chikankanta,6,2002
0.1727539957789225,1727.5399577892251,0.3568220634150028,3568.220634150028,2002-06-26,26,Chikankanta,6,2002
0.1610054900170935,1610.054900170935,0.3394991072362986,3394.9910723629864,2002-07-12,12,Chikankanta,7,2002
