soil_moisture_layer2,date,day,district,month,year
0.4859043268110911,2025-01-07,7,Kalomo,1,2025
0.4539931024655984,2025-01-07,7,Kazungula,1,2025
0.4753761675489399,2025-01-07,7,Mazabuka,1,2025
0.4708487675537758,2025-01-07,7,Monze,1,2025
0.4748825465916325,2025-01-07,7,Namwala,1,2025
0.4593465436429963,2025-01-07,7,Pemba,1,2025
0.3440498986679787,2025-01-07,7,Siavonga,1,2025
0.3583880875151488,2025-01-07,7,Sinazongwe,1,2025
0.4581601940400418,2025-01-07,7,Zimba,1,2025
0.4822177856094095,2025-01-07,7,Choma,1,2025
0.4519840833361063,2025-01-08,8,Livingstone,1,2025
0.4163464906751762,2025-01-08,8,Chikankanta,1,2025
0.3316549835931928,2025-01-08,8,Chirundu,1,2025
0.3296047734244626,2025-01-08,8,Gwembe,1,2025
0.4278454909608062,2025-01-08,8,Itezhi-Tezhi,1,2025
0.4803584646850253,2025-01-08,8,Kalomo,1,2025
0.4443068998080469,2025-01-08,8,Kazungula,1,2025
0.4767711628664471,2025-01-08,8,Mazabuka,1,2025
0.4700509900509989,2025-01-08,8,Monze,1,2025
0.4758320220594711,2025-01-08,8,Namwala,1,2025
0.4565436495248333,2025-01-08,8,Pemba,1,2025
0.3523337732858536,2025-01-08,8,Siavonga,1,2025
0.363557330966697,2025-01-08,8,Sinazongwe,1,2025
0.4532073892776999,2025-01-08,8,Zimba,1,2025
0.4780406289368462,2025-01-08,8,Choma,1,2025
0.4347363041694561,2025-01-09,9,Livingstone,1,2025
0.4002106468837896,2025-01-09,9,Chikankanta,1,2025
0.3352221191767985,2025-01-09,9,Chirundu,1,2025
0.3158230160969562,2025-01-09,9,Gwembe,1,2025
0.4061239177106301,2025-01-09,9,Itezhi-Tezhi,1,2025
0.4667340339051135,2025-01-09,9,Kalomo,1,2025
0.4280916258418326,2025-01-09,9,Kazungula,1,2025
0.4639415384198666,2025-01-09,9,Mazabuka,1,2025
0.4542444738851116,2025-01-09,9,Monze,1,2025
0.456745458009113,2025-01-09,9,Namwala,1,2025
0.4426873813552819,2025-01-09,9,Pemba,1,2025
0.3402252957666561,2025-01-09,9,Siavonga,1,2025
0.3460241676366227,2025-01-09,9,Sinazongwe,1,2025
0.4353286368429687,2025-01-09,9,Zimba,1,2025
0.4643759770065533,2025-01-09,9,Choma,1,2025
0.4268696755371917,2025-01-10,10,Livingstone,1,2025
0.3881344060553165,2025-01-10,10,Chikankanta,1,2025
0.3399325669029694,2025-01-10,10,Chirundu,1,2025
0.3020726962788134,2025-01-10,10,Gwembe,1,2025
0.3969066277619274,2025-01-10,10,Itezhi-Tezhi,1,2025
0.4691625003096596,2025-01-10,10,Kalomo,1,2025
0.4391602077890228,2025-01-10,10,Kazungula,1,2025
0.450973845662868,2025-01-10,10,Mazabuka,1,2025
0.441965871348475,2025-01-10,10,Monze,1,2025
0.4450153695693179,2025-01-10,10,Namwala,1,2025
0.430803050563571,2025-01-10,10,Pemba,1,2025
0.3346326246451984,2025-01-10,10,Siavonga,1,2025
0.345208236593416,2025-01-10,10,Sinazongwe,1,2025
0.4291947244578955,2025-01-10,10,Zimba,1,2025
0.45551328128,2025-01-10,10,Choma,1,2025
0.4453666745356165,2025-01-11,11,Livingstone,1,2025
0.4067269122472062,2025-01-11,11,Chikankanta,1,2025
0.3602384835815092,2025-01-11,11,Chirundu,1,2025
0.3113827591863786,2025-01-11,11,Gwembe,1,2025
